     NODOS    D.PRESCRITOS    F.PRESCRITAS
        25              10              16
    PUNTOS     COORDENADAS
         1      1.0000000000000      0.0000000000000
         2      1.7500000000000      0.0000000000000
         3      2.5000000000000      0.0000000000000
         4      3.2500000000000      0.0000000000000
         5      4.0000000000000      0.0000000000000
         6      0.9053300858899      0.1982233047034
         7      1.6685994984667      0.4052742837420
         8      2.4388009550107      0.7745873926376
         9      3.2159344555218      1.3061626313903
        10      4.0000000000000      2.0000000000000
        11      0.6035533905933      0.6035533905933
        12      1.1988737822087      1.1988737822087
        13      1.9633883476483      1.9633883476483
        14      2.8970970869121      2.8970970869121
        15      4.0000000000000      4.0000000000000
        16      0.1982233047034      0.9053300858899
        17      0.4052742837420      1.6685994984667
        18      0.7745873926376      2.4388009550107
        19      1.3061626313903      3.2159344555218
        20      2.0000000000000      4.0000000000000
        21      0.0000000000000      1.0000000000000
        22      0.0000000000000      1.7500000000000
        23      0.0000000000000      2.5000000000000
        24      0.0000000000000      3.2500000000000
        25      0.0000000000000      4.0000000000000
DESPLAZAMIENTO PRESCRITO      
    1     0     1      0.0000000000000      0.0000000000000
    2     0     1      0.0000000000000      0.0000000000000
    3     0     1      0.0000000000000      0.0000000000000
    4     0     1      0.0000000000000      0.0000000000000
    5     0     1      0.0000000000000      0.0000000000000
   21     1     0      0.0000000000000      0.0000000000000
   22     1     0      0.0000000000000      0.0000000000000
   23     1     0      0.0000000000000      0.0000000000000
   24     1     0      0.0000000000000      0.0000000000000
   25     1     0      0.0000000000000      0.0000000000000
FUERZAS PRESCRITAS            
    1       0.0000000000000e+00       8.4586181089796e-01
    2       0.0000000000000e+00       5.7142857142857e-01
    3       0.0000000000000e+00       4.0000000000000e-01
    4       0.0000000000000e+00       3.0769230769231e-01
    5       8.6178638957110e-01       1.7677669529664e-01
    6       1.4235169203133e+00       2.3813510569070e+00
   10       8.7508514494501e-01      -6.2609903369994e-01
   11      -2.0815280171309e-02      -9.4368957093138e-16
   15       4.7920386809863e-01       1.2490009027033e-16
   16      -3.0494612064635e+00      -1.0605242019049e+00
   20       4.4721359549996e-01       9.8386991009991e-02
   21      -2.5375854326939e+00      -4.6614688165673e-16
   22      -2.0204081632653e+00      -3.1490917692361e-16
   23      -1.6800000000000e+00      -2.2043642384652e-16
   24      -1.5088757396450e+00      -1.6956647988194e-16
   25      -9.9436891104358e-01      -9.7420056326493e-17
NORMALES                      
   16
    1     -0.5334020967942     -0.8458618108980
    2     -0.0000000000000     -1.0000000000000
    3     -0.0000000000000     -1.0000000000000
    4     -0.0000000000000     -1.0000000000000
    5      0.7071067811865     -0.7071067811865
    6     -0.8562795658362     -0.5165126379203
   10      1.0000000000000     -0.0000000000000
   11     -0.7071067811865     -0.7071067811865
   15      0.7071067811865      0.7071067811865
   16     -0.5165126379203     -0.8562795658362
   20     -0.0000000000000      1.0000000000000
   21     -0.8458618108980     -0.5334020967942
   22     -1.0000000000000     -0.0000000000000
   23     -1.0000000000000     -0.0000000000000
   24     -1.0000000000000     -0.0000000000000
   25     -0.7071067811865      0.7071067811865
END
