     NODOS    D.PRESCRITOS    F.PRESCRITAS
       121              22              40
    PUNTOS     COORDENADAS
         1      1.0000000000000      0.0000000000000
         2      1.3000000000000      0.0000000000000
         3      1.6000000000000      0.0000000000000
         4      1.9000000000000      0.0000000000000
         5      2.2000000000000      0.0000000000000
         6      2.5000000000000      0.0000000000000
         7      2.8000000000000      0.0000000000000
         8      3.1000000000000      0.0000000000000
         9      3.4000000000000      0.0000000000000
        10      3.7000000000000      0.0000000000000
        11      4.0000000000000      0.0000000000000
        12      0.9854167270367      0.0343602107415
        13      1.2878102632256      0.0449200693669
        14      1.5899959752163      0.0608578660868
        15      1.8919738630085      0.0821736009013
        16      2.1937439266024      0.1088672738103
        17      2.4953061659979      0.1409388848139
        18      2.7966605811951      0.1783884339120
        19      3.0978071721938      0.2212159211047
        20      3.3987459389943      0.2694213463919
        21      3.6994768815963      0.3230047097737
        22      4.0000000000000      0.3819660112501
        23      0.9402853137249      0.1312683193499
        24      1.2458863690382      0.1725330867446
        25      1.5515697384214      0.2324211878715
        26      1.8573354218744      0.3109326227307
        27      2.1631834193972      0.4080673913223
        28      2.4691137309898      0.5238254936461
        29      2.7751263566522      0.6582069297023
        30      3.0812212963844      0.8112116994908
        31      3.3873985501865      0.9828398030116
        32      3.6936581180583      1.1730912402647
        33      4.0000000000000      1.3819660112501
        34      0.8616692002021      0.2738839479096
        35      1.1611894949429      0.3631475420355
        36      1.4638904086256      0.4846670050409
        37      1.7697719412504      0.6384423369259
        38      2.0788340928172      0.8244735376905
        39      2.3910768633260      1.0427606073348
        40      2.7065002527768      1.2933035458586
        41      3.0251042611696      1.5761023532620
        42      3.3468888885044      1.8911570295450
        43      3.6718541347812      2.2384675747077
        44      4.0000000000000      2.6180339887499
        45      0.7481734188917      0.4391564245167
        46      1.0208209108374      0.5892052493312
        47      1.3051428841531      0.7765516145032
        48      1.6011393388389      1.0011955200328
        49      1.9088102748947      1.2631369659198
        50      2.2281556923205      1.5623759521644
        51      2.5591755911164      1.8989124787664
        52      2.9018699712822      2.2727465457260
        53      3.2562388328181      2.6838781530431
        54      3.6222821757241      3.1323073007178
        55      4.0000000000000      3.6180339887499
        56      0.6035533905933      0.6035533905933
        57      0.8213782463806      0.8213782463806
        58      1.0662741699797      1.0662741699797
        59      1.3382411613907      1.3382411613907
        60      1.6372792206136      1.6372792206136
        61      1.9633883476483      1.9633883476483
        62      2.3165685424949      2.3165685424949
        63      2.6968198051534      2.6968198051534
        64      3.1041421356237      3.1041421356237
        65      3.5385355339059      3.5385355339059
        66      4.0000000000000      4.0000000000000
        67      0.4391564245167      0.7481734188917
        68      0.5892052493312      1.0208209108374
        69      0.7765516145032      1.3051428841531
        70      1.0011955200328      1.6011393388389
        71      1.2631369659198      1.9088102748947
        72      1.5623759521644      2.2281556923205
        73      1.8989124787664      2.5591755911164
        74      2.2727465457260      2.9018699712822
        75      2.6838781530431      3.2562388328181
        76      3.1323073007178      3.6222821757241
        77      3.6180339887499      4.0000000000000
        78      0.2738839479096      0.8616692002021
        79      0.3631475420355      1.1611894949429
        80      0.4846670050409      1.4638904086256
        81      0.6384423369259      1.7697719412504
        82      0.8244735376905      2.0788340928172
        83      1.0427606073348      2.3910768633260
        84      1.2933035458586      2.7065002527768
        85      1.5761023532620      3.0251042611696
        86      1.8911570295450      3.3468888885044
        87      2.2384675747077      3.6718541347812
        88      2.6180339887499      4.0000000000000
        89      0.1312683193499      0.9402853137249
        90      0.1725330867446      1.2458863690382
        91      0.2324211878715      1.5515697384214
        92      0.3109326227307      1.8573354218744
        93      0.4080673913223      2.1631834193972
        94      0.5238254936461      2.4691137309898
        95      0.6582069297023      2.7751263566522
        96      0.8112116994908      3.0812212963844
        97      0.9828398030116      3.3873985501865
        98      1.1730912402647      3.6936581180583
        99      1.3819660112501      4.0000000000000
       100      0.0343602107415      0.9854167270367
       101      0.0449200693669      1.2878102632256
       102      0.0608578660868      1.5899959752163
       103      0.0821736009013      1.8919738630085
       104      0.1088672738103      2.1937439266024
       105      0.1409388848139      2.4953061659979
       106      0.1783884339120      2.7966605811951
       107      0.2212159211047      3.0978071721938
       108      0.2694213463919      3.3987459389943
       109      0.3230047097737      3.6994768815963
       110      0.3819660112501      4.0000000000000
       111      0.0000000000000      1.0000000000000
       112      0.0000000000000      1.3000000000000
       113      0.0000000000000      1.6000000000000
       114      0.0000000000000      1.9000000000000
       115      0.0000000000000      2.2000000000000
       116      0.0000000000000      2.5000000000000
       117      0.0000000000000      2.8000000000000
       118      0.0000000000000      3.1000000000000
       119      0.0000000000000      3.4000000000000
       120      0.0000000000000      3.7000000000000
       121      0.0000000000000      4.0000000000000
DESPLAZAMIENTO PRESCRITO      
    1     0     1      0.0000000000000      0.0000000000000
    2     0     1      0.0000000000000      0.0000000000000
    3     0     1      0.0000000000000      0.0000000000000
    4     0     1      0.0000000000000      0.0000000000000
    5     0     1      0.0000000000000      0.0000000000000
    6     0     1      0.0000000000000      0.0000000000000
    7     0     1      0.0000000000000      0.0000000000000
    8     0     1      0.0000000000000      0.0000000000000
    9     0     1      0.0000000000000      0.0000000000000
   10     0     1      0.0000000000000      0.0000000000000
   11     0     1      0.0000000000000      0.0000000000000
  111     1     0      0.0000000000000      0.0000000000000
  112     1     0      0.0000000000000      0.0000000000000
  113     1     0      0.0000000000000      0.0000000000000
  114     1     0      0.0000000000000      0.0000000000000
  115     1     0      0.0000000000000      0.0000000000000
  116     1     0      0.0000000000000      0.0000000000000
  117     1     0      0.0000000000000      0.0000000000000
